Price,Close,High,Low,Open,Volume,Return,SMA20,SMA50,Signal,Strategy_Return,Market_Cumulative,Strategy_Cumulative
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
Date,,,,,,,,,,,,
2023-04-24,162.81903076171875,163.08493430890758,161.40089854610392,162.49404087672,41949600,0.0018783150429608764,161.2241409301758,154.47610748291015,1,0.0018783150429608764,0.9150234902016543,0.8401287755978666
2023-04-25,161.28273010253906,163.78414697340926,161.24332919160244,162.68116189989732,48714100,-0.009435633242578567,161.49447174072264,154.727431640625,1,-0.009435633242578567,0.9063896641397673,0.8322016285947885
2023-04-26,161.27285766601562,162.76977657727082,160.32744626830737,160.58349205788602,45498800,-6.12119878995454e-05,161.79533004760742,154.9226208496094,1,-6.12119878995454e-05,0.9063341822266137,0.832150687878769
2023-04-27,165.8522491455078,165.99996498511996,162.68115222078845,162.68115222078845,64902300,0.02839530188629613,162.17152633666993,155.2222003173828,1,0.02839530188629613,0.9320698149408077,0.8557798578759757
2023-04-28,167.1029815673828,167.27041291997128,165.33033104891717,165.93106728858945,55275900,0.0075412448629363915,162.53196868896484,155.50484130859374,1,0.0075412448629363915,0.9390987816446281,0.8622335033329873
2023-05-01,167.0143280029297,167.86126725124362,166.07875924686118,166.70903856930101,52472900,-0.0005305325112788806,162.7629066467285,155.81761779785157,1,-0.0005305325112788806,0.9386005592096632,0.8617760604271553
2023-05-02,165.98025512695312,167.76277797719564,164.99544284655173,167.50671716698386,48425700,-0.0061915219391142085,162.87960510253907,156.13256011962892,1,-0.0061915219391142085,0.9327891932552518,0.8564403550424171
2023-05-03,164.90684509277344,168.32414556576836,164.6212560883793,166.925713661642,65136000,-0.006467094735808643,162.9692237854004,156.5061978149414,1,-0.006467094735808643,0.9267567571739316,0.8509016741307882
2023-05-04,163.2720489501953,164.50306450874902,161.81453073644045,162.3857237588548,81235400,-0.009913452298832226,163.06918334960938,156.83867065429686,1,-0.009913452298832226,0.9175693982690674,0.8424663009732961
2023-05-05,170.93389892578125,171.65280778469676,168.1665634032941,168.38322333782398,113453200,0.046926893028231165,163.50791778564454,157.31472930908203,1,0.046926893028231165,0.9606280792676183,0.8820006269589595
2023-05-08,170.8649444580078,171.20963479482143,169.49605587870553,169.86043164324718,55962800,-0.0004033984376813349,164.0727066040039,157.8423910522461,1,-0.0004033984376813349,0.9602405634012489,0.8816448292840103
2023-05-09,169.1612548828125,170.90436226614003,168.9938385535857,170.42181373691182,45326900,-0.00997097198959973,164.61287689208984,158.3121472167969,1,-0.00997097198959973,0.9506660316402975,0.872853973386444
2023-05-10,170.9240264892578,171.38688948895523,169.28923440637098,170.39223444016065,53724500,0.010420658132776817,165.27565383911133,158.82720336914062,1,0.010420658132776817,0.9605725973544647,0.88194968624294
2023-05-11,171.11117553710938,171.9384144483228,169.5551699505623,171.20966280003566,49514700,0.0010949253401968395,165.67893600463867,159.3873648071289,1,0.0010949253401968395,0.9616243526324068,0.8829153553031861
2023-05-12,170.1841583251953,171.653548851867,168.6358569767775,171.21962961924467,45533100,-0.005417631016818136,166.05310134887696,159.91716888427734,1,-0.005417631016818136,0.9564146267130578,0.8781320456890706
2023-05-15,169.69107055664062,170.81530899814229,169.09935977781652,170.7659972586019,37266700,-0.002897377602047224,166.4016258239746,160.33626556396484,1,-0.002897377602047224,0.953643532395349,0.8755877655682511
2023-05-16,169.69107055664062,170.74626955321972,169.42479920138675,169.61217478294208,42110300,0.0,166.68909072875977,160.70021270751954,1,0.0,0.953643532395349,0.8755877655682511
2023-05-17,170.30247497558594,170.53914722242257,168.06385467134209,169.3360281894031,57951600,0.003603044149227852,166.95000915527345,161.12031036376953,1,0.003603044149227852,0.9570795521451951,0.8787425469441174
2023-05-18,172.62989807128906,172.8172736869499,170.19404516336385,170.60823676479856,65496700,0.01366640793703544,167.37555389404298,161.56194244384767,1,0.01366640793703544,0.9701593917330066,0.8907518010622851
2023-05-19,172.73837280273438,173.95136353170963,172.52141315393132,173.95136353170963,55809500,0.0006283658430970007,167.88678359985352,162.05065216064452,1,0.0006283658430970007,0.9707690067571314,0.8913115190687498
2023-05-22,171.79164123535156,172.2945999966471,171.05201016081833,171.5746815829952,43570900,-0.005480725284265464,168.33541412353514,162.561591796875,1,-0.005480725284265464,0.9654484885166164,0.8864264854900327
2023-05-23,169.18809509277344,170.98293990870613,168.91196743614205,170.73639628329747,50747300,-0.015155255074438156,168.73068237304688,162.9816586303711,1,-0.015155255074438156,0.9508168704119162,0.8729924659976934
2023-05-24,169.4642333984375,170.03621645106807,168.16249079935005,168.7246024757336,45143500,0.0016321379202990371,169.14025115966797,163.3654928588867,1,0.0016321379202990371,0.9523687346813755,0.8744173101055837
2023-05-25,170.59835815429688,171.49576564962197,169.31632809947834,170.02637505144457,56058300,0.006692413691760324,169.37755661010743,163.76413116455078,1,0.006692413691760324,0.9587423802409616,0.8802692724840465
2023-05-26,173.0045928955078,173.3399036765556,170.7166757800904,170.92377905521317,54835000,0.014104677015910339,169.67263717651366,164.15456207275392,1,0.014104677015910339,0.9722651318557255,0.8926851862594644
2023-05-30,174.84873962402344,176.5153769153671,174.12883646161984,174.51344390978926,55964400,0.010659524684581312,170.06435775756836,164.5986184692383,1,0.010659524684581312,0.9826290160286993,0.9022007860379572
2023-05-31,174.7994384765625,176.87041104464083,174.3162075312564,174.87833424607143,99625300,-0.0002819645572907925,170.50531692504882,164.99441772460938,1,-0.0002819645572907925,0.9823519494732137,0.9019463973927345
2023-06-01,177.6001434326172,177.6297274606824,174.4838287285775,175.24318722718178,68901800,0.016022391035485084,171.139981842041,165.40920196533204,1,0.016022391035485084,0.9980915765421446,0.9163977352648079
2023-06-02,178.4482879638672,179.2668146743205,176.78165050926717,178.52718373632618,61996900,0.004775584720019044,171.8987937927246,165.86950866699217,1,0.004775584720019044,1.002858047424259,0.9207740702867986
2023-06-05,177.09727478027344,182.3930287124511,175.57855714098653,180.10511097044113,121946500,-0.007570894621680591,172.20696258544922,166.28112915039063,1,-0.007570894621680591,0.9952655148267056,0.9138029868302813
2023-06-06,176.7323760986328,177.62978364684957,174.97697127382227,177.48186345973468,64848400,-0.0020604421050146593,172.50033416748047,166.65945281982422,1,-0.0020604421050146593,0.9932148278542875,0.911920148680528
2023-06-07,175.361572265625,178.70470351330488,174.8684849721747,175.97299569419778,61944600,-0.0077563820691393115,172.8103500366211,167.0491619873047,1,-0.0077563820691393115,0.9855110741727152,0.9048469475908154
2023-06-08,178.07354736328125,178.3398036598064,175.00654388250445,175.44044804834044,50214900,0.015465047801626275,173.16782608032227,167.5055191040039,1,0.015465047801626275,1.0007520500438283,0.918840448888463
2023-06-09,178.45816040039062,179.71059129506313,178.13272098000036,178.99068805786467,48900000,0.0021598549745558415,173.53517532348633,167.90811584472655,1,0.0021598549745558415,1.0029135293374123,0.9208250110028178
2023-06-12,181.2490234375,181.34764691680866,178.468018885392,178.7638742754878,54274900,0.01563875269613768,174.08841857910156,168.33521362304688,1,0.01563875269613768,1.0185978459983307,0.9352255656263091
2023-06-13,180.77566528320312,181.60404834381112,179.91769818813273,180.2727216495119,54929100,-0.002611645267485252,174.64264831542968,168.70281555175782,1,-0.002611645267485252,1.0159376297543585,0.93278308820381
2023-06-14,181.4068145751953,181.84073380664427,179.50350482104812,180.83483150172444,57462900,0.0034913398935825235,175.22843551635742,169.0580261230469,1,0.0034913398935825235,1.0194846133305115,0.936039751011715
